dag_id,task_id,state,duration,try_number,day_of_week
dynamic_task_mapping_3,ls_file,success,2.776365,1,5
my_decorated_dag,load_data,success,7.594943,1,5
dbt_airflow_example,dbt_seed,success,103.669818,1,5
my_decorated_dag,load_data,success,0.269454,1,5
my_decorated_dag,extract_data,success,0.58936,1,5
my_decorated_dag,transform_data,success,0.219039,1,5
my_decorated_dag,load_data,success,0.948491,1,5
ai_failure_predictor_dag,predict_failure,success,28.634523,1,6
ai_failure_predictor_dag,run_pipeline,success,3.087949,1,6
ai_failure_predictor_dag,predict_failure,success,3.200251,1,6
my_decorated_dag,extract_data,success,0.209458,1,6
ai_failure_predictor_dag,run_pipeline,success,1.761349,1,6
my_decorated_dag,load_data,success,0.190501,1,6
my_decorated_dag,transform_data,success,0.347261,1,6
my_decorated_dag,extract_data,success,0.422253,1,6
my_decorated_dag,transform_data,success,0.407911,1,6
my_decorated_dag,load_data,success,0.339352,1,6
dynamic_task_mapping_4,get_files,success,37.045557,1,6
dynamic_task_mapping_3,download_file,success,1.073831,1,6
dynamic_task_mapping_2,download_file,success,3.031182,1,6
my_decorated_dag,extract_data,success,29.813137,1,6
dynamic_task_mapping_4,download_file,success,1.017922,1,6
dynamic_task_mapping_4,print_files,success,0.807359,1,6
dynamic_task_mapping_3,ls_file,success,1.016795,1,6
my_decorated_dag,load_data,success,2.134605,1,6
my_decorated_dag,load_data,success,0.80338,1,6
my_decorated_dag,transform_data,success,1.010625,1,6
dynamic_task_mapping_1,download_file,success,3.638068,1,6
ai_failure_predictor_dag,run_pipeline,success,1.650561,1,6
my_decorated_dag,extract_data,success,0.253137,1,6
my_decorated_dag,transform_data,success,0.279319,1,6
my_decorated_dag,load_data,success,0.378108,1,6
my_decorated_dag,extract_data,success,0.29218,1,6
my_decorated_dag,transform_data,success,0.250898,1,6
my_decorated_dag,load_data,success,0.178776,1,6
my_decorated_dag,extract_data,success,37.656433,1,6
dynamic_task_mapping_2,get_files,success,32.810977,1,6
dynamic_task_mapping_1,get_files,success,31.415942,1,6
dynamic_task_mapping_3,get_files,success,35.228999,1,6
dynamic_task_mapping_4,download_file,success,1.021153,1,6
dynamic_task_mapping_3,download_file,success,0.882833,1,6
dynamic_task_mapping_1,download_file,success,0.679954,1,6
dynamic_task_mapping_2,download_file,success,1.036055,1,6
dynamic_task_mapping_2,download_file,success,3.019402,1,6
my_decorated_dag,transform_data,success,0.898251,1,6
dynamic_task_mapping_1,download_file,success,0.797574,1,6
dynamic_task_mapping_2,download_file,success,2.68465,1,6
dynamic_task_mapping_4,download_file,success,4.745983,1,6
dbt_airflow_example,dbt_seed,success,54.290405,1,6
my_decorated_dag,transform_data,success,0.221186,1,6
dynamic_task_mapping_3,download_file,success,4.238802,1,6
my_decorated_dag,extract_data,success,0.256313,1,6
my_decorated_dag,transform_data,success,0.207426,1,6
dynamic_task_mapping_3,ls_file,success,1.204405,1,6
dynamic_task_mapping_3,ls_file,success,1.155194,1,6
my_decorated_dag,load_data,success,0.18633,1,6
my_decorated_dag,extract_data,success,0.227713,1,6
my_decorated_dag,transform_data,success,0.355865,1,6
dbt_airflow_example,dbt_run,success,17.10417,1,6
my_decorated_dag,load_data,success,0.264955,1,6
ai_failure_predictor_dag,run_pipeline,success,1.178676,1,6
dbt_airflow_example,dbt_test,success,13.311787,1,6
ai_failure_predictor_dag,predict_failure,success,3.945302,1,6
my_decorated_dag,extract_data,success,0.175196,1,6
my_decorated_dag,extract_data,success,47.081669,1,6
my_decorated_dag,extract_data,success,46.333308,1,6
my_decorated_dag,load_data,success,0.162881,1,6
my_decorated_dag,load_data,success,2.14823,1,6
my_decorated_dag,transform_data,success,1.266006,1,6
my_decorated_dag,load_data,success,2.298254,1,6
my_decorated_dag,transform_data,success,4.255107,1,6
my_decorated_dag,transform_data,success,0.816907,1,6
my_decorated_dag,extract_data,success,0.284524,1,6
my_decorated_dag,load_data,success,0.175436,1,6
my_decorated_dag,load_data,success,0.272563,1,6
my_decorated_dag,extract_data,success,0.176371,1,6
my_decorated_dag,transform_data,success,0.258532,1,6
my_decorated_dag,load_data,success,0.160997,1,6
my_decorated_dag,extract_data,success,1.375652,1,6
ai_failure_prediction_real_metadata,fetch,failed,43.745337,1,2
dynamic_task_mapping_3,get_files,success,51.474608,1,2
dynamic_task_mapping_4,get_files,success,17.723835,1,2
dynamic_task_mapping_4,download_file,success,1.060658,1,2
my_decorated_dag,transform_data,success,0.167339,1,6
my_decorated_dag,load_data,success,0.195128,1,6
ai_failure_predictor_dag,predict_task,success,4.837073,1,6
ai_failure_predictor_dag,run_pipeline,success,0.889483,1,6
ai_failure_predictor_dag,predict_task,success,3.201952,1,6
dynamic_task_mapping_4,download_file,success,0.464028,1,2
ai_failure_predictor_dag,skip_pipeline,success,1.388064,1,6
my_decorated_dag,transform_data,success,0.484859,1,6
my_decorated_dag,extract_data,success,0.245784,1,6
my_decorated_dag,transform_data,success,0.288126,1,6
my_decorated_dag,load_data,success,0.299425,1,6
ai_failure_prediction_real_metadata,fetch,success,3.667671,5,6
ai_failure_prediction_real_metadata,train,success,3.896416,3,6
dynamic_task_mapping_4,get_files,failed,0.205148,1,5
ai_failure_prediction_real_metadata,predict,failed,3.448608,1,6
ai_failure_predictor_dag,predict_task,success,3.108675,1,6
my_decorated_dag,extract_data,success,0.239668,1,6
my_decorated_dag,transform_data,success,0.174922,1,6
my_decorated_dag,transform_data,success,0.35771,1,6
my_decorated_dag,load_data,success,0.337176,1,6
my_decorated_dag,extract_data,success,0.668007,1,6
my_decorated_dag,load_data,success,0.160394,1,6
my_decorated_dag,load_data,success,0.429467,1,6
ai_failure_prediction_real_metadata,fetch,success,4.063157,1,6
ai_failure_predictor_dag,predict_task,failed,40.913786,1,2
ai_failure_prediction_real_metadata,train,success,2.55953,1,6
ai_failure_predictor_dag,run_pipeline,success,1.276026,1,6
my_decorated_dag,extract_data,success,0.470864,1,6
my_decorated_dag,transform_data,success,0.252016,1,6
my_decorated_dag,load_data,success,0.274908,1,6
dynamic_task_mapping_3,download_file,success,0.790561,1,2
ai_failure_predictor_dag,predict_task,failed,4.217216,1,6
ai_failure_predictor_dag,predict_task,failed,4.663787,1,6
my_decorated_dag,extract_data,success,0.702535,1,6
my_decorated_dag,transform_data,success,0.167762,1,6
ai_failure_predictor_dag,predict_task,success,3.60238,1,6
ai_failure_predictor_dag,run_pipeline,success,1.844512,1,6
my_decorated_dag,load_data,success,0.154691,1,6
my_decorated_dag,extract_data,success,0.340888,1,6
my_decorated_dag,transform_data,success,0.213439,1,6
my_decorated_dag,load_data,success,0.167974,1,6
dynamic_task_mapping_1,get_files,success,43.588748,1,2
my_decorated_dag,extract_data,success,10.851025,1,2
dynamic_task_mapping_2,get_files,success,46.284999,1,2
dynamic_task_mapping_4,get_files,success,50.455563,1,2
my_decorated_dag,extract_data,success,52.617982,1,2
dynamic_task_mapping_3,get_files,success,40.178316,1,2
dynamic_task_mapping_2,get_files,success,6.377746,1,2
dynamic_task_mapping_1,get_files,success,6.46658,1,2
dynamic_task_mapping_3,download_file,success,0.722572,1,2
dynamic_task_mapping_3,download_file,success,1.771596,1,2
dynamic_task_mapping_3,download_file,success,1.452386,1,2
dynamic_task_mapping_3,download_file,success,2.126091,1,2
my_decorated_dag,transform_data,success,1.058481,1,2
dynamic_task_mapping_4,download_file,success,1.568568,1,2
dynamic_task_mapping_4,download_file,success,1.813746,1,2
